filename,category,folder_path,source_url,description,document_type,date_downloaded,file_size_kb
AIChE_PID_Webinar_Barkel.pdf,pids,corpus/pids/AIChE_PID_Webinar_Barkel.pdf,https://www.aiche.org/sites/default/files/docs/webinars/BarkelB-PIDs.pdf,AIChE webinar slides on P&ID symbols and conventions for reading piping and instrumentation diagrams in process plants,EDUCATIONAL/SAMPLE,2026-07-20,2404
AIChE_Art_of_the_PID_2019.pdf,pids,corpus/pids/AIChE_Art_of_the_PID_2019.pdf,https://www.aiche.org/sites/default/files/community/262801/aiche-community-site-event/514546/artofthepid-aiche-rbt11-15-19.pdf,AIChE 2019 presentation: Art of the P&ID - advanced P&ID reading and design interpretation for chemical engineers,EDUCATIONAL/SAMPLE,2026-07-20,6816
IDC_PID_Standard_Structure.pdf,pids,corpus/pids/IDC_PID_Standard_Structure.pdf,https://www.idc-online.com/technical_references/pdfs/instrumentation/PID_Standard_Structure.pdf,IDC Online technical reference covering P&ID standard structure notation and instrument tag conventions,EDUCATIONAL/SAMPLE,2026-07-20,459
LibreTexts_PID_Example.pdf,pids,corpus/pids/LibreTexts_PID_Example.pdf,https://eng.libretexts.org/@api/deki/files/53940/P%26ID_Example.pdf,LibreTexts Engineering example P&ID diagram from open-access chemical engineering textbook,EDUCATIONAL/SAMPLE,2026-07-20,72
LibreTexts_PID_Examples_Chem.pdf,pids,corpus/pids/LibreTexts_PID_Examples_Chem.pdf,https://chem.libretexts.org/@api/deki/files/96684/P%26ID_Examples.pdf,LibreTexts Chemistry additional P&ID examples from open-access process engineering course material,EDUCATIONAL/SAMPLE,2026-07-20,116
OSHA_PSM_ProcessSafety_PID_Reference.pdf,pids,corpus/pids/OSHA_PSM_ProcessSafety_PID_Reference.pdf,https://www.osha.gov/sites/default/files/publications/osha3132.pdf,OSHA PSM publication 3132 referencing P&ID requirements under 29 CFR 1910.119 for process safety management,AUTHORITATIVE,2026-07-20,199
Honeywell_PID_Symbols_Guide.pdf,pids,corpus/pids/Honeywell_PID_Symbols_Guide.pdf,https://www.honeywellprocess.com/library/support/Public/Documents/51-52-25-59.pdf,Honeywell Process Solutions P&ID symbols and instrument tagging guide for DCS and process control systems,EDUCATIONAL/SAMPLE,2026-07-20,268
Emerson_Control_Valve_Handbook.pdf,oem_manuals,corpus/oem_manuals/Emerson_Control_Valve_Handbook.pdf,https://www.emerson.com/documents/automation/control-valve-handbook-en-3661206.pdf,Emerson/Fisher Control Valve Handbook - comprehensive reference for control valve selection installation maintenance and troubleshooting,AUTHORITATIVE,2026-07-20,16725
AtlasCopco_Compressed_Air_Manual_9th_Ed.pdf,oem_manuals,corpus/oem_manuals/AtlasCopco_Compressed_Air_Manual_9th_Ed.pdf,https://www.atlascopco.com/content/dam/atlas-copco/local-countries/australia/documents/Compressed-Air-Manual-9th-edition_compressed.pdf,Atlas Copco Compressed Air Manual 9th Edition - engineering reference for compressor types installation energy efficiency and maintenance,AUTHORITATIVE,2026-07-20,6856
AlfaLaval_PharmaLine_ShellTube_HeatExchanger_Manual.pdf,oem_manuals,corpus/oem_manuals/AlfaLaval_PharmaLine_ShellTube_HeatExchanger_Manual.pdf,https://www.alfalaval.com/globalassets/documents/products/heat-transfer/tubular-heat-exchangers/shell-and-tube-heat-exchangers/point-of-use/pharma-line-point-of-use---instruction-manual.pdf,Alfa Laval PharmaLine shell-and-tube heat exchanger instruction manual covering installation operation cleaning and maintenance procedures,AUTHORITATIVE,2026-07-20,1670
Pentair_Aurora_1080_ShellTube_HeatExchanger_IOM.pdf,oem_manuals,corpus/oem_manuals/Pentair_Aurora_1080_ShellTube_HeatExchanger_IOM.pdf,https://www.flowandfiltrationsolutions.pentair.com/content/dam/extranet/web/nam/aurora/manuals/a-03-331-series1080-shell-tube-heat-exchangers-iom.pdf,Pentair Aurora Series 1080 shell-and-tube heat exchanger IOM covering installation maintenance and repair procedures,AUTHORITATIVE,2026-07-20,555
Xylem_StandardXchange_ShellTube_HeatExchanger_IOM.pdf,oem_manuals,corpus/oem_manuals/Xylem_StandardXchange_ShellTube_HeatExchanger_IOM.pdf,https://www.xylem.com/siteassets/brand/standard-xchange/resources/marine-cpk/cpk-shell--tube-iom_0120-1-rev-0.pdf,Xylem Standard-Xchange CPK shell-and-tube heat exchanger IOM for marine and industrial installation and operation,AUTHORITATIVE,2026-07-20,1419
ValMatic_ElectricPanel_PumpControl_Manual.pdf,oem_manuals,corpus/oem_manuals/ValMatic_ElectricPanel_PumpControl_Manual.pdf,https://www.valmatic.com/Portals/0/pdfs/5EP-OM1-1.pdf,Val-Matic electric panel pump control system O&M manual covering wiring operation and maintenance for pump control panels,AUTHORITATIVE,2026-07-20,249
Neles_Valve_Maintenance_Manual.pdf,oem_manuals,corpus/oem_manuals/Neles_Valve_Maintenance_Manual.pdf,https://www.neles.com/globalassets/downloadcenter/en/valve-maintenance-manual.pdf,Neles (Metso) valve maintenance manual with procedures for industrial control valve and rotary valve servicing,AUTHORITATIVE,2026-07-20,296
Siemens_SIMOTICS_Motor_IOM.pdf,oem_manuals,corpus/oem_manuals/Siemens_SIMOTICS_Motor_IOM.pdf,https://mall.industry.siemens.com/mall/en/WW/Catalog/download/SIMOTICS_M1BAE_IM.pdf,Siemens SIMOTICS electric motor installation and operating instructions for low-voltage induction motor maintenance,AUTHORITATIVE,2026-07-20,53
Factories_Act_1948_GoaGov.pdf,regulatory,corpus/regulatory/Factories_Act_1948_GoaGov.pdf,https://ifbgoa.goa.gov.in/sites/default/files/Factories_Act_1948.pdf,The Factories Act 1948 India - primary occupational health safety and working conditions legislation for Indian factories and industrial plants,AUTHORITATIVE,2026-07-20,652
Factories_Act_1948_PRS.pdf,regulatory,corpus/regulatory/Factories_Act_1948_PRS.pdf,https://prsindia.org/files/bills_acts/bills_parliament/2005/bill96_2007090596_The_Factories_Act__1948.pdf,The Factories Act 1948 PRS India version including amendments governing factory safety hazardous processes and inspection requirements,AUTHORITATIVE,2026-07-20,179
